charity_name,address,city,state,zipcode,phone_number,email,category_name,charity_description,charity_tag,logo,founded,charity_id,assets,income,expenses,irs_form
1000 Friends Of Colorado Inc,,Boulder,CO,80304,,,,,,,,,,,,
17solutions,,Boulder,CO,80304,,,,,,,,,,,,
350 Colorado,,Boulder,CO,80304,,,,,,,,,,,,
3l Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Above The Seas Llc,,Boulder,CO,80304,,,,,,,,,,,,
Academy For International School Heads,,Boulder,CO,80304,,,,,,,,,,,,
Addictive Bahavior Counseling Ministries International Inc,,Boulder,CO,80304,,,,,,,,,,,,
Aedra,,Boulder,CO,80304,,,,,,,,,,,,
Aerial Futures,,Boulder,CO,80304,,,,,,,,,,,,
Alandi Ashram,,Boulder,CO,80304,,,,,,,,,,,,
Alex Maldonado Scholarship Fund,,Boulder,CO,80304,,,,,,,,,,,,
Alliance For Climate Education Inc,,Boulder,CO,80304,,,,,,,,,,,,
Altai Institute For Research And Conservation Inc,,Boulder,CO,80304,,,,,,,,,,,,
Alumnae Association Of Mount Holyoke College Inc,,Boulder,CO,80304,,,,,,,,,,,,
American Federation Of Teachers,,Boulder,CO,80304,,,,,,,,,,,,
American Group Psychotherapy Association Inc,,Boulder,CO,80304,,,,,,,,,,,,
Anam Chara,,Boulder,CO,80304,,,,,,,,,,,,
Apple Ridge Park Homeowners Association,,Boulder,CO,80304,,,,,,,,,,,,
Art,,Boulder,CO,80304,,,,,,,,,,,,
Art Parts Creative Reuse Center,,Boulder,CO,80304,,,,,,,,,,,,
Association Of Colorado Independent Schools,,Boulder,CO,80304,,,,,,,,,,,,
Athletes Coalition,,Boulder,CO,80304,,,,,,,,,,,,
Baobao Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Betty Byfield Paul Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Blue Moon Dance Company,,Boulder,CO,80304,,,,,,,,,,,,
Bolderlife Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Aikikai Inc,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Art Matrix,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Bear Coalition,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Bible Chapel,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Carshare,,Boulder,CO,80304,,,,,,,,,,,,
Boulder County Latina League Inc,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Cycling Club,,Boulder,CO,80304,,,,,,,,,,,,
Boulder High Lacrosse,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Housing Partners Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Metalsmithing Association,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Nablus Sister City Project Inc,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Opera,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Samba School,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Shelter For The Homeless Inc,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Tibet Sister City Project Inc,,Boulder,CO,80304,,,,,,,,,,,,
Boulder Valley Cycling Alliance,,Boulder,CO,80304,,,,,,,,,,,,
Buddhist Arts And Film Festival,,Boulder,CO,80304,,,,,,,,,,,,
Cancer Quilt Project,,Boulder,CO,80304,,,,,,,,,,,,
Casa De Dios Shalom,,Boulder,CO,80304,,,,,,,,,,,,
Cdr Associates,,Boulder,CO,80304,,,,,,,,,,,,
Centennial Middle School Parentteacher Organization,,Boulder,CO,80304,,,,,,,,,,,,
Center Of Light And Truth-new Thought Science,,Boulder,CO,80304,,,,,,,,,,,,
Central Christian Church Of Boulder Colorado,,Boulder,CO,80304,,,,,,,,,,,,
Child And Family Advocacy Program,,Boulder,CO,80304,,,,,,,,,,,,
Childrens House Preschool Inc,,Boulder,CO,80304,,,,,,,,,,,,
Cini Usa Inc,,Boulder,CO,80304,,,,,,,,,,,,
Citizens For Engaged Communities Inc,,Boulder,CO,80304,,,,,,,,,,,,
Climbing Wall Association Inc,,Boulder,CO,80304,,,,,,,,,,,,
Climbing Without Borders,,Boulder,CO,80304,,,,,,,,,,,,
Coalition For Collaborative Development,,Boulder,CO,80304,,,,,,,,,,,,
Coalition For Good Governance,,Boulder,CO,80304,,,,,,,,,,,,
Code Wagon,,Boulder,CO,80304,,,,,,,,,,,,
Colorado Asia Council,,Boulder,CO,80304,,,,,,,,,,,,
Colorado Association For Play Therapy,,Boulder,CO,80304,,,,,,,,,,,,
Colorado Bowhunters Association Inc,,Boulder,CO,80304,,,,,,,,,,,,
Colorado Film Society,,Boulder,CO,80304,,,,,,,,,,,,
Colorado High School Cycling League,,Boulder,CO,80304,,,,,,,,,,,,
Colorado Mosaic Artists,,Boulder,CO,80304,,,,,,,,,,,,
Colorado Straw Bale Association,,Boulder,CO,80304,,,,,,,,,,,,
Colorado Textile Group,,Boulder,CO,80304,,,,,,,,,,,,
Concept Restaurants Inc Employee Health Plan,,Boulder,CO,80304,,,,,,,,,,,,
Congregation Nevei Kodesh,,Boulder,CO,80304,,,,,,,,,,,,
Cyclists 4 Community,,Boulder,CO,80304,,,,,,,,,,,,
Daniels Family Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Deaf Education Industries,,Boulder,CO,80304,,,,,,,,,,,,
Democracy And Media Education Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Earth Guardians Inc,,Boulder,CO,80304,,,,,,,,,,,,
Edm Cares Project,,Boulder,CO,80304,,,,,,,,,,,,
Emergency Family Assistance Association Inc,,Boulder,CO,80304,,,,,,,,,,,,
Energyschool Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Eon Zen Center Inc,,Boulder,CO,80304,,,,,,,,,,,,
Equussential Education,,Boulder,CO,80304,,,,,,,,,,,,
Evan Spear Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Everyday Good Eating,,Boulder,CO,80304,,,,,,,,,,,,
F R O G Pose,,Boulder,CO,80304,,,,,,,,,,,,
Fantasyland Institute Of Learning Inc,,Boulder,CO,80304,,,,,,,,,,,,
Feed The Soul Inc,,Boulder,CO,80304,,,,,,,,,,,,
First Orthodox Presbyterian Church,,Boulder,CO,80304,,,,,,,,,,,,
Flatirons Chamber Music Festival,,Boulder,CO,80304,,,,,,,,,,,,
Foothill Elementory Pto,,Boulder,CO,80304,,,,,,,,,,,,
Foundation For African Resources,,Boulder,CO,80304,,,,,,,,,,,,
Foundation For Earth Science Information Partners,,Boulder,CO,80304,,,,,,,,,,,,
Free To Live Fellowship Inc,,Boulder,CO,80304,,,,,,,,,,,,
Friends Of The Peace Parks Inc,,Boulder,CO,80304,,,,,,,,,,,,
Front Range Agility Club,,Boulder,CO,80304,,,,,,,,,,,,
Fugere Family Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Futurity Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Gateway Apprenticeship Program,,Boulder,CO,80304,,,,,,,,,,,,
General Association Of Davidian Seventh Day Adventists Inc,,Boulder,CO,80304,,,,,,,,,,,,
Gentle Passages Foundation Inc,,Boulder,CO,80304,,,,,,,,,,,,
Go Flyers Club,,Boulder,CO,80304,,,,,,,,,,,,
Goose Creek Community Land Trust,,Boulder,CO,80304,,,,,,,,,,,,
Great Escape Inc,,Boulder,CO,80304,,,,,,,,,,,,
Green Deck Inc,,Boulder,CO,80304,,,,,,,,,,,,
Growing Gardens Of Boulder County Inc,,Boulder,CO,80304,,,,,,,,,,,,
Gzsobols Parkinsons Network,,Boulder,CO,80304,,,,,,,,,,,,
Hands For Life,,Boulder,CO,80304,,,,,,,,,,,,
Herb Research Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Hillside Church Of The Savior,,Boulder,CO,80304,,,,,,,,,,,,
Holy Cross Wilderness Defense Fund,,Boulder,CO,80304,,,,,,,,,,,,
Honnold Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Ida P Rolf Research Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Immigrant Legal Center Of Boulder County,,Boulder,CO,80304,,,,,,,,,,,,
Incite Productions Inc,,Boulder,CO,80304,,,,,,,,,,,,
Informed Family Life,,Boulder,CO,80304,,,,,,,,,,,,
Innovative Users Group,,Boulder,CO,80304,,,,,,,,,,,,
Insight Sangha,,Boulder,CO,80304,,,,,,,,,,,,
Institute For Bolder Healthcare,,Boulder,CO,80304,,,,,,,,,,,,
Institute For International Connect Ion,,Boulder,CO,80304,,,,,,,,,,,,
Irish Step Dancers Of Colorado,,Boulder,CO,80304,,,,,,,,,,,,
Jack And Sue Witkin Charitable Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Jarrow School Inc,,Boulder,CO,80304,,,,,,,,,,,,
Jinpa Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Jlf Colorado,,Boulder,CO,80304,,,,,,,,,,,,
Kapoks,,Boulder,CO,80304,,,,,,,,,,,,
Kids Included Of Colorado,,Boulder,CO,80304,,,,,,,,,,,,
Kiva Center,,Boulder,CO,80304,,,,,,,,,,,,
Kiwanis International Inc,,Boulder,CO,80304,,,,,,,,,,,,
Land Use Resource Center,,Boulder,CO,80304,,,,,,,,,,,,
Leave No Trace Center For Outdoor Ethics,,Boulder,CO,80304,,,,,,,,,,,,
Left Hand Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Lemon Sponge Cake Contemporary Ballet,,Boulder,CO,80304,,,,,,,,,,,,
Lhadrima Foundation Inc,,Boulder,CO,80304,,,,,,,,,,,,
Living Systems Academy,,Boulder,CO,80304,,,,,,,,,,,,
Luca Media Collective,,Boulder,CO,80304,,,,,,,,,,,,
Mackenzie Winslows Storytellers Initiative,,Boulder,CO,80304,,,,,,,,,,,,
Macon & Regina Cowles Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Making Our Voices Effective Inc,,Boulder,CO,80304,,,,,,,,,,,,
Mapleton Home Association,,Boulder,CO,80304,,,,,,,,,,,,
Media In The Public Interest Inc,,Boulder,CO,80304,,,,,,,,,,,,
Mero Sathi Nepal,,Boulder,CO,80304,,,,,,,,,,,,
Millenia Music Inc,,Boulder,CO,80304,,,,,,,,,,,,
Miracle Fund Inc,,Boulder,CO,80304,,,,,,,,,,,,
Motus Theater,,Boulder,CO,80304,,,,,,,,,,,,
Mount Zion Lutheran Church & School,,Boulder,CO,80304,,,,,,,,,,,,
Mountain Flower Urban Goat Dairy,,Boulder,CO,80304,,,,,,,,,,,,
Namaste Solar Foundation Inc,,Boulder,CO,80304,,,,,,,,,,,,
Namdrol Ling,,Boulder,CO,80304,,,,,,,,,,,,
Nami Boulder County Inc,,Boulder,CO,80304,,,,,,,,,,,,
Natural Transitions Funeral Guidance,,Boulder,CO,80304,,,,,,,,,,,,
New Horizons School,,Boulder,CO,80304,,,,,,,,,,,,
Nobo Art District,,Boulder,CO,80304,,,,,,,,,,,,
Northern Star Charities,,Boulder,CO,80304,,,,,,,,,,,,
One Act A Day,,Boulder,CO,80304,,,,,,,,,,,,
Osho Zeenat Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Passageways Institute Inc,,Boulder,CO,80304,,,,,,,,,,,,
Path Of The Heart,,Boulder,CO,80304,,,,,,,,,,,,
Peace Lutheran Church,,Boulder,CO,80304,,,,,,,,,,,,
People S Climate Of Colorado Incorporated,,Boulder,CO,80304,,,,,,,,,,,,
Philanthropy Project,,Boulder,CO,80304,,,,,,,,,,,,
Pine Brook Hills Community Fund,,Boulder,CO,80304,,,,,,,,,,,,
Pine Brook Hills Homeowners Association Inc,,Boulder,CO,80304,,,,,,,,,,,,
Piste Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Pp3cloud,,Boulder,CO,80304,,,,,,,,,,,,
Protect Our Winters,,Boulder,CO,80304,,,,,,,,,,,,
Qalandar School,,Boulder,CO,80304,,,,,,,,,,,,
Reachout Crestview,,Boulder,CO,80304,,,,,,,,,,,,
Reclaimtheamericandreamorg,,Boulder,CO,80304,,,,,,,,,,,,
Recovery Trust,,Boulder,CO,80304,,,,,,,,,,,,
Richard And Joan Ringoen Family Foundation Inc,,Boulder,CO,80304,,,,,,,,,,,,
Ridgeview Fund,,Boulder,CO,80304,,,,,,,,,,,,
Right Use Of Power Institute,,Boulder,CO,80304,,,,,,,,,,,,
Rocky Mountain Chorale,,Boulder,CO,80304,,,,,,,,,,,,
Rocky Mountain Church Of Christ Of Boulder,,Boulder,CO,80304,,,,,,,,,,,,
Rocky Mountain Climbers Club Of Colorado,,Boulder,CO,80304,,,,,,,,,,,,
Rocky Mountain Peace And Justice Center,,Boulder,CO,80304,,,,,,,,,,,,
Rocky Ridge Music Center Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Round Window Institute,,Boulder,CO,80304,,,,,,,,,,,,
Sadhana Ashram Inc C/o Steve Sabine,,Boulder,CO,80304,,,,,,,,,,,,
Safehouse Progressive Alliance For Nonviolence Inc,,Boulder,CO,80304,,,,,,,,,,,,
Satori Institute,,Boulder,CO,80304,,,,,,,,,,,,
School Of Eating Good,,Boulder,CO,80304,,,,,,,,,,,,
Seeds Of Wellness Inc,,Boulder,CO,80304,,,,,,,,,,,,
Shanti Childrens Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Sibinacocha Watershed Project,,Boulder,CO,80304,,,,,,,,,,,,
Siddha Yoga Dham Boulder Inc,,Boulder,CO,80304,,,,,,,,,,,,
Snow Lion School,,Boulder,CO,80304,,,,,,,,,,,,
Society Boulder,,Boulder,CO,80304,,,,,,,,,,,,
Solstice Institute,,Boulder,CO,80304,,,,,,,,,,,,
Southwest Energy Efficiency Project Llc,,Boulder,CO,80304,,,,,,,,,,,,
Spiritual Assembly Of The Bahais Of Boulder,,Boulder,CO,80304,,,,,,,,,,,,
Sprinces Wong Fam Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Spring Valley Mutual Water Association,,Boulder,CO,80304,,,,,,,,,,,,
St Peters Church Inc,,Boulder,CO,80304,,,,,,,,,,,,
Stan Mckee Reading Foundation Inc,,Boulder,CO,80304,,,,,,,,,,,,
Star Inspired Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Starting Line Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Student And Education Support Association Inc,,Boulder,CO,80304,,,,,,,,,,,,
Subud United States Of America,,Boulder,CO,80304,,,,,,,,,,,,
Sustainable Alliances Inc,,Boulder,CO,80304,,,,,,,,,,,,
Sustainable Schools International,,Boulder,CO,80304,,,,,,,,,,,,
Swift Cycling,,Boulder,CO,80304,,,,,,,,,,,,
Taps Are Talking Inc,,Boulder,CO,80304,,,,,,,,,,,,
Tara Institute Of The Performing Arts Incorporated,,Boulder,CO,80304,,,,,,,,,,,,
Tesseract Productions,,Boulder,CO,80304,,,,,,,,,,,,
The Caruso Foundation,,Boulder,CO,80304,,,,,,,,,,,,
The Cohousing Association Of The Us,,Boulder,CO,80304,,,,,,,,,,,,
The International Wilderness Leadership Foundation Inc,,Boulder,CO,80304,,,,,,,,,,,,
Tiegs Foundation Inc,,Boulder,CO,80304,,,,,,,,,,,,
Tikkun,,Boulder,CO,80304,,,,,,,,,,,,
Udiyan Maitreya Kosha,,Boulder,CO,80304,,,,,,,,,,,,
United States Power Squadrons,,Boulder,CO,80304,,,,,,,,,,,,
Unity Of Boulder,,Boulder,CO,80304,,,,,,,,,,,,
Urban River Society Incorporated,,Boulder,CO,80304,,,,,,,,,,,,
Village Dreams,,Boulder,CO,80304,,,,,,,,,,,,
Waldorf School Association Of Boulder Inc,,Boulder,CO,80304,,,,,,,,,,,,
Warmshowers Org,,Boulder,CO,80304,,,,,,,,,,,,
Watershed School Inc,,Boulder,CO,80304,,,,,,,,,,,,
Weatherspoon Charitable Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Windhorse Guild Inc,,Boulder,CO,80304,,,,,,,,,,,,
Wisdom Factors International,,Boulder,CO,80304,,,,,,,,,,,,
Women Work Together,,Boulder,CO,80304,,,,,,,,,,,,
Wright Family Foundation,,Boulder,CO,80304,,,,,,,,,,,,
Wright Paleohydrological Institute,,Boulder,CO,80304,,,,,,,,,,,,
Zenko International,,Boulder,CO,80304,,,,,,,,,,,,
Acres Of Hope,,Longmont,CO,80503,,,,,,,,,,,,
American Association Of University Women,,Longmont,CO,80503,,,,,,,,,,,,
American Volkssport Association Inc,,Longmont,CO,80503,,,,,,,,,,,,
Apostolic Church In Jesus Name,,Longmont,CO,80503,,,,,,,,,,,,
Asian-pacific Association Of Longmont,,Longmont,CO,80503,,,,,,,,,,,,
Aspen Leaf Foundation,,Longmont,CO,80503,,,,,,,,,,,,
Believe Ranch And Rescue,,Longmont,CO,80503,,,,,,,,,,,,
Benevolence Retreat Society,,Longmont,CO,80503,,,,,,,,,,,,
Beth Ami,,Longmont,CO,80503,,,,,,,,,,,,
Blacks In Government,,Longmont,CO,80503,,,,,,,,,,,,
Boco Baseball Inc,,Longmont,CO,80503,,,,,,,,,,,,
Bodhisattva International Institute,,Longmont,CO,80503,,,,,,,,,,,,
Boulder Alano Club,,Longmont,CO,80503,,,,,,,,,,,,
Boulder Area Alumnae Panhellenic Philanthropy,,Longmont,CO,80503,,,,,,,,,,,,
Boulder Broomfield Foster Adoptive Family Association,,Longmont,CO,80503,,,,,,,,,,,,
Brotherhood Of Locomotive Engineers And Trainmen,,Longmont,CO,80503,,,,,,,,,,,,
Burrell Family Foundation,,Longmont,CO,80503,,,,,,,,,,,,
C R E A T E Globally,,Longmont,CO,80503,,,,,,,,,,,,
Cameroon Development Fund Inc,,Longmont,CO,80503,,,,,,,,,,,,
Caring About People,,Longmont,CO,80503,,,,,,,,,,,,
Catte Inc,,Longmont,CO,80503,,,,,,,,,,,,
Centre For Rural Development - Africa,,Longmont,CO,80503,,,,,,,,,,,,
Church Of Inner Light,,Longmont,CO,80503,,,,,,,,,,,,
Cleft Of The Rock,,Longmont,CO,80503,,,,,,,,,,,,
Colorado Horse Rescue,,Longmont,CO,80503,,,,,,,,,,,,
Colorado Tennis Cricket League,,Longmont,CO,80503,,,,,,,,,,,,
Commonsensetodayorg,,Longmont,CO,80503,,,,,,,,,,,,
Country Dance & Song Society Inc,,Longmont,CO,80503,,,,,,,,,,,,
Deep Water Soul Care,,Longmont,CO,80503,,,,,,,,,,,,
Delta Kappa Gamma Society,,Longmont,CO,80503,,,,,,,,,,,,
Delta Kappa Gamma Society International,,Longmont,CO,80503,,,,,,,,,,,,
Desiderata Educational Resource And Research Corporation,,Longmont,CO,80503,,,,,,,,,,,,
Dodge Family Fund,,Longmont,CO,80503,,,,,,,,,,,,
Don And Carol Schmidgall Family Foundation Inc,,Longmont,CO,80503,,,,,,,,,,,,
Dr C W Bixler Family Foundation,,Longmont,CO,80503,,,,,,,,,,,,
Druidawn Academy Inc,,Longmont,CO,80503,,,,,,,,,,,,
Drylands Agroecology Research Foundation,,Longmont,CO,80503,,,,,,,,,,,,
E4 Project Inc,,Longmont,CO,80503,,,,,,,,,,,,
Eagle Crest Elementary Parent Teacher Organization,,Longmont,CO,80503,,,,,,,,,,,,
Earth Tribe Ranch,,Longmont,CO,80503,,,,,,,,,,,,
Elim Tabernacle Of Christ,,Longmont,CO,80503,,,,,,,,,,,,
Fairy Ring Garden Inc,,Longmont,CO,80503,,,,,,,,,,,,
Familia A Familia,,Longmont,CO,80503,,,,,,,,,,,,
Firehouse Ministries Llc,,Longmont,CO,80503,,,,,,,,,,,,
Foundation For A Better Economy,,Longmont,CO,80503,,,,,,,,,,,,
Friends Of Vance Brand Airport Inc,,Longmont,CO,80503,,,,,,,,,,,,
From Nest To Wings Inc,,Longmont,CO,80503,,,,,,,,,,,,
Front Range Hippotherapy Inc,,Longmont,CO,80503,,,,,,,,,,,,
Front Range Orthopedic Foundation,,Longmont,CO,80503,,,,,,,,,,,,
Gafner Family Foundation,,Longmont,CO,80503,,,,,,,,,,,,
Garden Bloggers Fling Of Denver,,Longmont,CO,80503,,,,,,,,,,,,
Grace Evangelical Free Church Of Longmont Co,,Longmont,CO,80503,,,,,,,,,,,,
Grassroots St Vrain Inc,,Longmont,CO,80503,,,,,,,,,,,,
Hakes Wiland Christian Foundation,,Longmont,CO,80503,,,,,,,,,,,,
Health And Ed 4 Nepal Inc,,Longmont,CO,80503,,,,,,,,,,,,
Hoe And Hope Garden Club Inc,,Longmont,CO,80503,,,,,,,,,,,,
Home Ownership Preservation Centerfor The Disabled,,Longmont,CO,80503,,,,,,,,,,,,
Hover Community Inc,,Longmont,CO,80503,,,,,,,,,,,,
Hover Village Inc,,Longmont,CO,80503,,,,,,,,,,,,
Hygiene Pto Inc,,Longmont,CO,80503,,,,,,,,,,,,
Indigo Foundation,,Longmont,CO,80503,,,,,,,,,,,,
Institute For Experiential Brainbody Research,,Longmont,CO,80503,,,,,,,,,,,,
Integrity Foundation Inc,,Longmont,CO,80503,,,,,,,,,,,,
International Association Of Lions Clubs,,Longmont,CO,80503,,,,,,,,,,,,
Join A Revolution Educate Drummers And Other Musicians,,Longmont,CO,80503,,,,,,,,,,,,
Jon Rudolph Memorial Foundation,,Longmont,CO,80503,,,,,,,,,,,,
Katherine And Charles Hover Green Houses Inc,,Longmont,CO,80503,,,,,,,,,,,,
Knick O Time Horse Rescue And Rehabilitation,,Longmont,CO,80503,,,,,,,,,,,,
Lake Ditch Co,,Longmont,CO,80503,,,,,,,,,,,,
Lebor Family Foundation Inc,,Longmont,CO,80503,,,,,,,,,,,,
Left Hand Valley Lake Association,,Longmont,CO,80503,,,,,,,,,,,,
Lets Be Ready,,Longmont,CO,80503,,,,,,,,,,,,
Longmont Astronomical Society,,Longmont,CO,80503,,,,,,,,,,,,
Longmont Christian Fellowship,,Longmont,CO,80503,,,,,,,,,,,,
Longmont Estates Elementary School Pto,,Longmont,CO,80503,,,,,,,,,,,,
Longmont Food Rescue,,Longmont,CO,80503,,,,,,,,,,,,
Longmont Youth Sports Organization,,Longmont,CO,80503,,,,,,,,,,,,
Longmont Zephyrs Inc,,Longmont,CO,80503,,,,,,,,,,,,
M I T Alumni Of Colorado,,Longmont,CO,80503,,,,,,,,,,,,
Magic Classrooms,,Longmont,CO,80503,,,,,,,,,,,,
Mentoring The Youth Foundation Inc,,Longmont,CO,80503,,,,,,,,,,,,
Metro West Minnesota Branch Of The American Association Of University,,Longmont,CO,80503,,,,,,,,,,,,
